,R_fighter,B_fighter,gender,weight_class,year,R_age,B_age,R_Stance,B_Stance,R_Weight_lbs,B_Weight_lbs,R_Reach_cms,B_Reach_cms,R_wins,B_wins,R_losses,B_losses,R_draw,B_draw,R_current_win_streak,B_current_win_streak,R_current_lose_streak,B_current_lose_streak,R_longest_win_streak,B_longest_win_streak,Winner
101,Josh Emmett,Michael Johnson,Men's,Featherweight,2019,34.0,32.0,Orthodox,Southpaw,145.0,145.0,177.8,185.42,4.0,11.0,2.0,9.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,4.0,Red
102,Karolina Kowalkiewicz,Michelle Waterson,Women's,Women's Strawweight,2019,33.0,33.0,Orthodox,Orthodox,115.0,115.0,162.56,157.48,5.0,4.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,2.0,Blue
104,Sodiq Yusuff,Sheymon Moraes,Men's,Featherweight,2019,25.0,28.0,Orthodox,Orthodox,145.0,145.0,180.34,182.88,1.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,Red
105,Marina Rodriguez,Jessica Aguilar,Women's,Women's Strawweight,2019,31.0,36.0,Orthodox,Orthodox,115.0,115.0,165.1,160.02,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,Red
106,Ross Pearson,Desmond Green,Men's,Lightweight,2019,34.0,29.0,Orthodox,Southpaw,155.0,155.0,175.26,185.42,12.0,2.0,13.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,Blue
108,Kevin Holland,Gerald Meerschaert,Men's,Middleweight,2019,26.0,31.0,Orthodox,Southpaw,185.0,185.0,205.74,195.58,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,Red
109,Ray Borg,Casey Kenney,Men's,Bantamweight,2019,25.0,28.0,Orthodox,Southpaw,135.0,135.0,160.02,172.72,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,Blue
110,Sabina Mazo,Maryna Moroz,Women's,Women's Flyweight,2019,22.0,27.0,Orthodox,Orthodox,125.0,125.0,177.8,170.18,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,Blue
111,Alex Perez,Mark De La Rosa,Men's,Bantamweight,2019,27.0,24.0,Orthodox,Orthodox,135.0,135.0,165.1,165.1,3.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,2.0,Red
112,Stephen Thompson,Anthony Pettis,Men's,Welterweight,2019,36.0,32.0,Orthodox,Orthodox,170.0,170.0,190.5,182.88,9.0,8.0,4.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,5.0,Blue
